Date,Time CST/CDT,Stage (feet),Flow (cfs)
31JAN2025,0700,8.07,4332
31JAN2025,0800,8.04,4297
31JAN2025,0900,8.00,4251
31JAN2025,1000,7.97,4215
31JAN2025,1100,7.90,4130
31JAN2025,1200,7.81,4023
31JAN2025,1300,7.75,3952
31JAN2025,1400,7.67,3859
31JAN2025,1500,7.63,3813
31JAN2025,1600,7.52,3688
31JAN2025,1700,7.47,3631
31JAN2025,1800,7.37,3516
31JAN2025,1900,7.33,3470
31JAN2025,2000,7.25,3380
31JAN2025,2100,7.19,3314
31JAN2025,2200,7.14,3259
31JAN2025,2300,7.08,3194
01Feb2025,0000,7.00,3108
01FEB2025,0100,6.94,3037
01FEB2025,0200,6.92,3014
01FEB2025,0300,6.84,2922
01FEB2025,0400,6.78,2854
01FEB2025,0500,6.72,2787
01FEB2025,0600,6.68,2743
01FEB2025,0700,6.63,2688
01FEB2025,0800,6.60,2656
01FEB2025,0900,6.55,2603
01FEB2025,1000,6.50,2550
01FEB2025,1100,6.45,2484
01FEB2025,1200,6.40,2419
01FEB2025,1300,6.33,2330
01FEB2025,1400,6.33,2330
01FEB2025,1500,6.30,2292
01FEB2025,1600,6.27,2255
01FEB2025,1700,6.22,2195
