Date,Time CS/CDT,Elevation (ft-NGVD29),Tailwater (ft-NGVD29),Generation (mwh),Turbine Release (cfs),Spillway Release (cfs),Total Release (cfs)
31JAN2025,0700,1119.85,921.59,40,2779,0,2779
31JAN2025,0800,1119.86,922.12,56,3845,0,3845
31JAN2025,0900,1119.83,922.35,57,3892,0,3892
31JAN2025,1000,1119.92,919.93,35,2703,0,2703
31JAN2025,1100,1119.86,917.93,7,653,0,653
31JAN2025,1200,1119.90,916.93,0,20,0,20
31JAN2025,1300,1119.92,916.46,0,20,0,20
31JAN2025,1400,1119.91,916.38,0,20,0,20
31JAN2025,1500,1119.93,916.37,0,20,0,20
31JAN2025,1600,1119.95,916.37,0,20,0,20
31JAN2025,1700,1119.94,919.25,0,20,0,20
31JAN2025,1800,1119.97,921.67,42,2924,0,2924
31JAN2025,1900,1119.98,921.71,56,3878,0,3878
31JAN2025,2000,1119.96,919.85,33,2574,0,2574
31JAN2025,2100,1119.96,917.86,7,537,0,537
31JAN2025,2200,1119.99,916.90,0,20,0,20
31JAN2025,2300,1119.99,916.45,0,20,0,20
01Feb2025,0000,1120.01,916.39,0,20,0,20
01FEB2025,0100,1120.04,916.38,0,20,0,20
01FEB2025,0200,1120.05,916.37,0,20,0,20
01FEB2025,0300,1120.06,918.58,0,20,0,20
01FEB2025,0400,1120.05,921.66,40,2779,0,2779
01FEB2025,0500,1120.04,922.26,56,3852,0,3852
01FEB2025,0600,1120.04,922.44,56,3875,0,3875
01FEB2025,0700,1120.05,922.34,56,3871,0,3871
01FEB2025,0800,1120.03,922.33,56,3880,0,3880
01FEB2025,0900,1120.05,922.40,56,3864,0,3864
01FEB2025,1000,1120.02,922.34,56,3873,0,3873
01FEB2025,1100,1120.04,922.45,56,3873,0,3873
01FEB2025,1200,1120.00,922.43,56,3880,0,3880
01FEB2025,1300,1119.96,922.43,56,3879,0,3879
01FEB2025,1400,1120.00,922.37,56,3889,0,3889
01FEB2025,1500,1119.97,922.36,56,3882,0,3882
01FEB2025,1600,1120.01,922.35,56,3863,0,3863
01FEB2025,1700,1120.00,922.46,56,3865,0,3865
01FEB2025,1800,1120.00,922.40,56,3872,0,3872
