Date,Time CST/CDT,Stage (feet),Flow (cfs)
31JAN2025,0700,4.80,1535
31JAN2025,0800,4.71,1472
31JAN2025,0900,4.60,1396
31JAN2025,1000,4.51,1337
31JAN2025,1100,4.43,1284
31JAN2025,1200,4.34,1226
31JAN2025,1300,4.26,1175
31JAN2025,1400,4.18,1126
31JAN2025,1500,4.13,1096
31JAN2025,1600,4.06,1055
31JAN2025,1700,4.00,1020
31JAN2025,1800,3.94,987
31JAN2025,1900,3.89,959
31JAN2025,2000,3.83,927
31JAN2025,2100,3.78,901
31JAN2025,2200,3.72,870
31JAN2025,2300,3.69,855
01Feb2025,0000,3.64,829
01FEB2025,0100,3.58,800
01FEB2025,0200,3.54,780
01FEB2025,0300,3.50,761
01FEB2025,0400,3.46,741
01FEB2025,0500,3.44,731
01FEB2025,0600,3.39,706
01FEB2025,0700,3.35,687
01FEB2025,0800,3.31,668
01FEB2025,0900,3.28,653
01FEB2025,1000,3.24,635
01FEB2025,1100,3.21,621
01FEB2025,1200,3.19,612
01FEB2025,1300,3.17,603
01FEB2025,1400,3.14,590
01FEB2025,1500,3.11,577
01FEB2025,1600,3.09,568
01FEB2025,1700,3.07,559
01FEB2025,1800,3.04,547
