Date,Time CST/CDT,Stage (feet),Flow (cfs)
31JAN2025,0700,5.57,1968
31JAN2025,0800,5.49,1912
31JAN2025,0900,5.42,1864
31JAN2025,1000,5.36,1822
31JAN2025,1100,5.30,1782
31JAN2025,1200,5.23,1732
31JAN2025,1300,5.21,1717
31JAN2025,1400,5.14,1664
31JAN2025,1500,5.11,1641
31JAN2025,1600,5.08,1619
31JAN2025,1700,5.02,1575
31JAN2025,1800,4.99,1553
31JAN2025,1900,4.94,1517
31JAN2025,2000,4.90,1489
31JAN2025,2100,4.86,1461
31JAN2025,2200,4.84,1447
31JAN2025,2300,4.80,1419
01Feb2025,0000,4.80,1419
01FEB2025,0100,4.76,1391
01FEB2025,0200,4.71,1357
01FEB2025,0300,4.69,1344
01FEB2025,0400,4.65,1317
01FEB2025,0500,4.62,1297
01FEB2025,0600,4.60,1284
01FEB2025,0700,4.59,1277
01FEB2025,0800,4.55,1251
01FEB2025,0900,4.54,1244
01FEB2025,1000,4.51,1225
01FEB2025,1100,4.48,1206
01FEB2025,1200,4.47,1199
01FEB2025,1300,4.45,1186
01FEB2025,1400,4.43,1173
01FEB2025,1500,4.40,1152
01FEB2025,1600,4.39,1145
01FEB2025,1700,4.38,1138
01FEB2025,1800,4.33,1103
